Patent Records:
(inventor_first_name, faculty_first_name, faculty_last_name, inventor_city, inventor_state, grantee_name, patent_document_number, document_date, title_of_invention)
('Volodymyr', 'Volodymyr', 'Kindratenko', 'Savoy', 'IL', 'The Board of Trustees of the University of Illinois', '07162328', '20070109', 'Tracking device for grain')
('Feipeng', 'Fei', 'Li', 'Baltimore', 'MD', 'The Board of Trustees of the University of Illinois', '08983832', '20150317', 'Systems and methods for identifying speech sound features')
('Chang', 'C', 'Liu', 'Champaign', 'IL', 'The Board of Trustees of the University of Illinois', '07343136', '20080311', 'Apparatus for detecting environmental conditions for a structure or article')
('Chang', 'C', 'Liu', 'Winnetta', 'IL', 'The Board of Trustees of the University of Illinois', '07644624', '20100112', 'Artificial lateral line')
('Chen', 'C', 'Liu', 'Urbana', 'IL', 'Board of Trustees of the University of Illinois', '06987856', '20060117', 'Binaural signal processing techniques')
('Chen', 'C', 'Liu', 'Lisle', 'IL', 'Board of Trustees of the University of Illinois', '06978159', '20051220', 'Binaural signal processing using multiple acoustic sensors and digital filtering')
('Chunfeng', 'C', 'Liu', 'Oklahoma City', 'OK', 'The Board of Trustees of the University of Illinois', '07504420', '20090317', 'Compounds which inhibit beta-secretase activity and methods of use')
('Chang', 'C', 'Liu', 'Champaign', 'IL', 'The Board of Trustees of the University of Illinois', '07768376', '20100803', 'Conformal mesh for thermal imaging')
('Chang', 'C', 'Liu', 'Champaign', 'IL', 'The Board of Trustees of the University of Illinois', '07247895', '20070724', 'Electrostatic nanolithography probe actuation device and method')
('Chang', 'C', 'Liu', 'Champaign', 'IL', 'The Board of Trustees of the University of Illinois', '07501069', '20090310', 'Flexible structures for sensors and electronics')
('Chunfeng', 'C', 'Liu', 'Norman', 'OK', 'The Board of Trustees of the University of Illinois', '07659289', '20100209', 'Hydroxyethylene-based β-secretase inhibitors and use thereof')
('Chang', 'C', 'Liu', 'Champaign', 'IL', 'The Board of Trustees of the University of Illinois', '07451537', '20081118', 'Method for fabricating a microscale anemometer')
('Chang', 'C', 'Liu', 'Champaign', 'IL', 'The Board of Trustees of the University of Illinois', '07112918', '20060926', 'Microdischarge devices and arrays having tapered microcavities')
('Chang', 'C', 'Liu', 'Champaign', 'IL', 'The Board of Trustees of the University of Illinois', '07217396', '20070515', 'Microfabricated micro fluid channels')
('Chang', 'C', 'Liu', 'Champaign', 'IL', 'The Board of Trustees of the University of Illinois', '07509869', '20090331', 'Microfabricated pressure and shear stress sensors')
('Chang', 'C', 'Liu', 'Champaign', 'IL', 'The Board of Trustees of the University of Illinois', '07351303', '20080401', 'Microfluidic systems and components')
('Chang', 'C', 'Liu', 'Winnetka', 'IL', 'The Board of Trustees of the University of Illinois', '07661319', '20100216', 'Micromachined artificial haircell')
('Chang', 'C', 'Liu', 'Champaign', 'IL', 'The Board of Trustees of the University of Illinois', '06923054', '20050802', 'Microscale out-of-plane anemometer')
('Chang', 'C', 'Liu', 'Champaign', 'IL', 'The Board of Trustees of the University of Illinois', '07281419', '20071016', 'Multifunctional probe array system')
('Chang', 'C', 'Liu', 'Champaign', 'IL', 'The Board of Trustees of the University of Illinois', '06642129', '20031104', 'Parallel, individually addressable probes for nanolithography')
('Chang', 'C', 'Liu', 'Champaign', 'IL', 'The Trustees of the University of Illinois', '06922127', '20050726', 'Raised on-chip inductor and method of manufacturing same')
('Chang', 'C', 'Liu', 'Champaign', 'IL', 'The Board of Trustees of the University of Illinois', '07081624', '20060725', 'Scanning probe microscopy probes and methods')
('Chang', 'C', 'Liu', 'Champaign', 'IL', 'The Board of Trustees of the University of Illinois', '07357035', '20080415', 'Sensor chip and apparatus for tactile and/or flow sensing')
('Chang', 'C', 'Liu', 'Champaign', 'IL', 'The Board of Trustees of the University of Illinois', '07445675', '20081104', 'Sensor for monitoring material deposition')
('Chang', 'C', 'Liu', 'Champaign', 'IL', 'The Board of Trustees of The University of Illinois', '06884458', '20050426', 'Sensor for monitoring material deposition and method of monitoring material deposition')
('Chang', 'C', 'Liu', 'Winnetka', 'IL', 'The Board of Trustees of the University of Illinois', '08431080', '20130430', 'Soft MEMS')
('Chang', 'C', 'Liu', 'Champaign', 'IL', 'The Board of Trustees of the University of Illinois', '06418006', '20020709', 'Wide tuning range variable MEMs capacitor')
('Haiyun', 'Haiyun', 'Luo', 'San Jose', 'CA', 'Board of Trustees of the University of Illinois', '08307414', '20121106', 'Method and system for distributed, localized authentication in the framework of 802.11')
('Yijie', 'Yi', 'Ma', 'Chicago', 'IL', 'The Board of Trustees of the University of Illinois', '08765444', '20140701', 'Compositions and methods using herpes simplex virus')
('Yi', 'Yi', 'Ma', 'Champaign', 'IL', 'The Board of Trustees of the University of Illinois', '08406525', '20130326', 'Recognition via high-dimensional data classification')
('Klara', 'Klara', 'Nahrstedt', 'Savoy', 'IL', 'University of Illinois', '08872895', '20141028', 'Real-time video coding using graphics rendering contexts')
('David M.', 'David', 'Nicol', 'Urbana', 'IL', 'The Board of Trustees of the University of Illinois', '08209738', '20120626', 'Analysis of distributed policy rule-sets for compliance with global policy')
('Sanjay Jeram', 'Sanjay', 'Patel', 'Urbana', 'IL', 'University of Illinois at Urbana-Champaign', '08649592', '20140211', 'System for background subtraction with 3D camera')
('Sanjay Jeram', 'Sanjay', 'Patel', 'Urbana', 'IL', 'University of Illinois at Urbana-Champaign', '08643701', '20140204', 'System for executing 3D propagation for depth image-based rendering')
('Constantine', 'Constantine', 'Polychronopoulos', 'Champaign', 'IL', 'The Board of Trustees of the University of Illinois', '07145913', '20061205', 'Thread based scalable routing for an active router')
('Jean', 'Jean', 'Ponce', 'Paris', 'null', 'The Board of Trustees of the University of Illinois', '08331615', '20121211', 'Match, expand, and filter technique for multi-view stereopsis')
('Sylvian R.', 'Sylvian', 'Ray', 'Urbana', 'IL', 'The Board of Trustees of the University of Illinois', '06795794', '20040921', 'Method for determination of spatial target probability using a model of multisensory processing by the brain')
('John F.', 'John', 'Reid', 'Champaign', 'IL', 'University of Illinois', '06898585', '20050524', 'Fuzzy logic method for adaptively evaluating the validity of sensor data')
('John F.', 'John', 'Reid', 'Champaign', 'IL', 'The Board Of Trustees Of The University Of Illinois', '06442463', '20020827', 'Fuzzy steering controller')
('John F.', 'John', 'Reid', 'Champaign', 'IL', 'The Board of Trustees of the University of Illinois', '06721453', '20040413', 'Method and apparatus for processing an image of an agricultural field')
('John Franklin', 'John', 'Reid', 'Moline', 'IL', 'The University of Illinois', '07587081', '20090908', 'Method for processing stereo vision data using image density')
('John Franklin', 'John', 'Reid', 'Champaign', 'IL', 'University of Illinois Grant and Contract Administration', '08737720', '20140527', 'System and method for detecting and analyzing features in an agricultural field')
('John Franklin', 'John', 'Reid', 'Champaign', 'IL', 'University of Illinois Grant and Contract Administration', '08855405', '20141007', 'System and method for detecting and analyzing features in an agricultural field for vehicle guidance')
('John Franklin', 'John', 'Reid', 'Champaign', 'IL', 'University of Illinois Grant and Contrect Administration', '08712144', '20140429', 'System and method for detecting crop rows in an agricultural field')
('Grigore', 'Grigore', 'Rosu', 'Champaign', 'IL', 'The Board of Trustees of the University of Illinois', '08719796', '20140506', 'Parametric trace slicing')
('William H.', 'William', 'Sanders', 'Mahomet', 'IL', 'The Board of Trustees of the University of Illinois', '08209738', '20120626', 'Analysis of distributed policy rule-sets for compliance with global policy')
('Saurabh', 'Saurabh', 'Sinha', 'Champaign', 'IL', 'THE BOARD OF TRUSTEES OF THE UNIVERSITY OF ILLINOIS', '09230063', '20160105', 'Automated prostate tissue referencing for cancer detection and diagnosis')
